County,Democratic,Republican,Other
Anderson,12146,8860,2
Bedford,5610,2272,0
Benton,2611,1363,0
Bledsoe,1412,1431,0
Blount,8459,11876,8
Bradley,5693,6717,0
Campbell,4412,4232,0
Cannon,2190,746,0
Carroll,4056,3734,0
Carter,5326,8472,0
Cheatham,2750,803,1
Chester,1763,1767,0
Claiborne,2581,2852,0
Clay,1196,622,0
Cocke,2109,5084,0
Coffee,6837,3012,0
Crockett,1817,1873,0
Cumberland,3073,2975,0
Davidson,79387,45335,0
Decatur,1813,1429,0
DeKalb,2291,1402,0
Dickson,4724,1281,0
Dyer,4717,4517,1
Fayette,2636,2922,0
Fentress,1550,1969,0
Franklin,6029,2262,0
Gibson,8119,4614,0
Giles,4940,1378,0
Grainger,1309,2634,0
Greene,5916,6913,0
Grundy,2775,686,0
Hamblen,4607,5196,0
Hamilton,38546,40200,0
Hancock,687,1517,0
Hardeman,2675,2450,0
Hardin,2620,3025,0
Hawkins,4191,5712,0
Haywood,2290,2407,0
Henderson,1955,3133,0
Henry,5874,2261,0
Hickman,2877,1019,0
Houston,1572,287,0
Humphreys,3230,916,0
Jackson,2291,551,0
Jefferson,2600,4923,0
Johnson,927,2889,0
Knox,42463,42797,0
Lake,1667,736,1
Lauderdale,3847,1880,0
Lawrence,5449,4590,0
Lewis,2061,388,0
Lincoln,4861,1728,1
Loudon,3365,4148,11
Macon,1446,1846,0
Madison,10573,10932,0
Marion,3775,2728,0
Marshall,3989,1340,0
Maury,7716,4605,1
McMinn,5207,5624,0
McNairy,2994,3109,0
Meigs,816,824,0
Monroe,4100,4349,0
Montgomery,10178,2814,0
Moore,1034,264,0
Morgan,1957,1842,0
Obion,5672,2802,0
Overton,3258,1155,0
Perry,1440,514,0
Pickett,728,935,0
Polk,2113,1685,0
Putnam,6309,2993,2
Rhea,2637,2730,0
Roane,6108,5735,0
Robertson,5784,1797,0
Rutherford,9580,4088,0
Scott,2007,2406,0
Sequatchie,1162,804,0
Sevier,2995,6821,0
Shelby,111496,100527,3
Smith,2934,1084,0
Stewart,2444,441,0
Sullivan,19496,17703,0
Sumner,9102,3437,0
Tipton,3821,3073,0
Trousdale,1270,205,0
Unicoi,2000,2731,0
Union,1091,1770,0
Van Buren,865,293,0
Warren,5027,1754,1
Washington,10253,10612,0
Wayne,1178,2510,0
Weakley,5161,2684,0
White,2987,1199,0
Williamson,5075,2707,1
Wilson,6267,2707,0
