County,Democratic,Republican,Reform,Other
Anderson,13482,11838,3149,142
Bedford,5978,3836,1541,66
Benton,3896,1625,559,34
Bledsoe,1884,1776,352,6
Blount,14655,18415,4468,113
Bradley,9889,16528,3212,67
Campbell,6756,4897,1240,38
Cannon,2593,1229,495,14
Carroll,5741,4842,1139,77
Carter,6502,10712,1898,78
Cheatham,4817,3496,1433,42
Chester,2317,2834,439,6
Claiborne,4509,4065,860,51
Clay,1922,1072,223,9
Cocke,3495,5298,1124,83
Coffee,8534,6047,2420,43
Crockett,2657,2180,507,13
Cumberland,6393,7116,2200,83
Davidson,106355,76567,20184,701
Decatur,2633,1667,351,10
DeKalb,4382,1714,608,18
Dickson,7863,4450,1730,50
Dyer,5845,5668,1241,33
Fayette,4211,3713,657,28
Fentress,2730,2391,606,32
Franklin,7773,4507,1837,59
Gibson,9555,7161,1536,80
Giles,5601,2827,1309,44
Grainger,2242,2772,513,26
Greene,7857,9912,2930,176
Grundy,2997,1004,366,19
Hamblen,7114,8898,1760,82
Hamilton,46770,53476,14400,439
Hancock,1000,1274,151,24
Hardeman,4832,3122,594,79
Hardin,3922,3875,734,61
Hawkins,6623,7758,1847,57
Haywood,3511,2518,331,16
Henderson,3502,4719,785,18
Henry,6797,3661,1588,49
Hickman,4093,1820,795,19
Houston,2012,648,280,11
Humphreys,3875,1641,609,10
Jackson,3208,708,332,10
Jefferson,4740,6184,1385,53
Johnson,1781,3170,574,38
Knox,59702,66607,15669,498
Lake,1449,680,151,26
Lauderdale,4452,2928,561,17
Lawrence,6816,5608,1403,37
Lewis,2491,1218,434,9
Lincoln,5063,3814,1371,54
Loudon,5414,6444,1602,50
Macon,2961,2299,443,23
Madison,13629,14869,2634,64
Marion,5589,3262,1186,31
Marshall,4491,2516,1050,41
Maury,9997,7440,2821,201
McMinn,6682,7453,1812,43
McNairy,4691,4093,774,37
Meigs,1673,1355,453,3
Monroe,5384,6025,936,66
Montgomery,14507,13011,3753,70
Moore,1151,661,327,6
Morgan,3190,2306,658,30
Obion,6497,4812,1494,61
Overton,4489,1657,468,37
Perry,1889,708,317,5
Pickett,1144,1094,121,9
Polk,2583,1584,419,24
Putnam,10858,7998,2473,153
Rhea,4289,4860,1163,36
Roane,9812,8719,2396,72
Robertson,8498,5271,1978,32
Rutherford,21084,18877,7005,174
Scott,2730,3011,643,34
Sequatchie,1754,1381,405,19
Sevier,6719,11714,2760,73
Shelby,191322,153310,20223,1255
Smith,5061,1482,486,15
Stewart,2779,1046,487,11
Sullivan,20935,28801,6730,514
Sumner,19387,17401,5177,167
Tipton,5652,6757,1279,29
Trousdale,1846,565,243,10
Unicoi,2375,3344,709,19
Union,2478,2274,580,22
Van Buren,1329,555,191,5
Warren,7189,3704,1415,47
Washington,13071,18206,4002,204
Wayne,1868,2955,424,19
Weakley,5691,4800,1355,23
White,4102,2118,821,33
Williamson,13053,22015,5026,101
Wilson,13861,12061,3848,133
